time, acel_x,acel_y,acel_z,gyro_x, gyro_y, gyro_z,mag_x, mag_y, mag_z,Pressure
aurrera
79025, 0.24, -0.15, 0.95, 1.71, -1.22, -0.18, 48.68, 35.51, -40.41, 101.46
79151, 0.24, -0.15, 0.97, 2.81, -0.98, -0.24, 47.90, 35.86, -41.37, 101.44
79278, 0.26, -0.13, 0.94, 1.59, -1.89, 0.06, 48.50, 35.93, -41.81, 101.46
79405, 0.62, -0.25, 0.90, -0.55, -4.39, -5.31, 48.43, 35.78, -40.31, 101.45
79533, 0.34, -0.13, 0.82, -1.83, 1.59, 4.09, 47.84, 36.38, -41.74, 101.46
79659, 0.17, -0.01, 0.77, -9.52, 1.16, 6.35, 47.46, 36.80, -41.43, 101.46
79786, 0.33, -0.04, 0.94, 0.12, -1.40, 5.31, 46.37, 38.04, -40.52, 101.46
79913, 0.30, -0.01, 0.99, -1.46, 1.10, 3.11, 45.62, 38.10, -39.88, 101.46
80040, 0.37, -0.32, 1.02, 9.95, 1.89, -3.48, 43.80, 38.33, -39.26, 101.46
80167, 0.40, -0.22, 1.03, 12.27, -5.43, -4.52, 43.05, 38.83, -41.02, 101.45
80294, 0.33, -0.35, 1.07, 16.85, -5.00, -1.71, 40.77, 38.07, -40.91, 101.45
80421, 0.33, 0.00, 0.94, -8.73, -0.98, 7.51, 39.54, 37.04, -41.75, 101.46
80547, 0.23, -0.03, 0.97, -4.46, 0.37, 4.46, 39.10, 34.63, -43.24, 101.46
80674, 0.29, -0.11, 0.95, 1.34, -5.55, 2.81, 39.20, 33.91, -43.68, 101.46
80801, 0.34, -0.12, 1.18, 2.32, -4.15, -3.17, 39.51, 32.17, -43.18, 101.46
80928, 0.35, -0.29, 1.00, 17.15, -12.21, -6.29, 39.66, 30.55, -44.48, 101.46
81054, 0.31, -0.01, 0.81, 0.98, -3.54, -3.97, 39.90, 29.64, -45.74, 101.46
81180, 0.28, -0.06, 0.79, -6.16, 1.22, -2.44, 40.03, 28.26, -45.94, 101.45
81306, 0.39, -0.15, 1.00, 5.86, -2.81, -3.05, 39.95, 26.99, -45.51, 101.44
81431, 0.31, -0.39, 0.94, 4.09, 2.75, -5.74, 40.81, 26.34, -46.17, 101.46
81557, 0.27, 0.15, 0.83, -0.61, -1.22, 0.43, 40.48, 26.43, -46.19, 101.45
81683, 0.22, 0.00, 1.05, 7.81, -4.15, -3.23, 41.15, 25.35, -45.30, 101.46
81809, 0.14, 0.04, 0.96, -1.22, -2.56, -0.37, 41.91, 24.96, -46.69, 101.46
81935, 0.45, -0.40, 0.90, -10.62, 1.65, 2.08, 41.85, 23.85, -46.42, 101.46
